Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,PlayType
4,11,32,2,1,69,1,SHOTGUN,OPP,RUSH
4,10,46,1,10,81,0,SHOTGUN,OPP,RUSH
4,9,59,2,3,88,1,UNDER CENTER,OPP,RUSH
4,7,25,1,10,57,0,UNDER CENTER,OPP,RUSH
4,6,35,3,9,58,1,SHOTGUN,OPP,RUSH
4,5,49,1,10,70,0,UNDER CENTER,OPP,RUSH
4,5,2,2,9,71,0,UNDER CENTER,OPP,RUSH
4,4,57,1,10,87,0,UNDER CENTER,OPP,RUSH
4,4,11,2,10,87,0,SHOTGUN,OPP,RUSH
4,4,6,2,5,92,0,UNDER CENTER,OPP,RUSH
4,3,20,3,5,92,0,UNDER CENTER,OPP,RUSH
4,2,9,2,3,55,1,SHOTGUN,OPP,RUSH
1,11,25,1,10,57,0,SHOTGUN,OPP,RUSH
1,10,8,1,10,72,0,SHOTGUN,OPP,RUSH
1,9,32,2,3,79,0,UNDER CENTER,OPP,RUSH
1,1,56,3,1,54,0,UNDER CENTER,OPP,RUSH
1,1,12,4,1,54,1,UNDER CENTER,OPP,RUSH
2,15,0,2,3,64,0,SHOTGUN,OPP,RUSH
2,14,21,3,1,66,1,UNDER CENTER,OPP,RUSH
2,13,32,2,10,68,0,SHOTGUN,OPP,RUSH
3,12,57,2,4,51,0,SHOTGUN,OPP,RUSH
3,10,11,1,10,55,1,SHOTGUN,OPP,RUSH
3,8,47,2,1,85,1,SHOTGUN,OPP,RUSH
3,5,28,1,10,50,0,UNDER CENTER,OPP,RUSH
3,2,50,3,7,71,0,SHOTGUN,OPP,RUSH
3,2,3,4,1,77,1,SHOTGUN,OPP,RUSH
3,1,30,1,10,78,0,SHOTGUN,OPP,RUSH
3,0,3,3,1,87,0,UNDER CENTER,OPP,RUSH
4,13,25,1,10,50,0,SHOTGUN,OPP,RUSH
4,12,1,1,10,82,0,UNDER CENTER,OPP,RUSH
4,9,29,1,10,56,0,SHOTGUN,OPP,RUSH
4,8,23,1,10,70,1,SHOTGUN,OPP,RUSH
4,7,39,1,6,94,0,SHOTGUN,OPP,RUSH
4,7,11,2,2,98,1,NO HUDDLE SHOTGUN,OPP,RUSH
1,13,44,1,10,71,0,UNDER CENTER,OPP,RUSH
1,13,8,3,3,78,0,SHOTGUN,OPP,RUSH
1,12,48,4,1,80,0,SHOTGUN,OPP,RUSH
1,10,54,1,10,56,0,UNDER CENTER,OPP,RUSH
1,10,14,2,7,59,0,UNDER CENTER,OPP,RUSH
1,8,21,1,10,79,0,UNDER CENTER,OPP,RUSH
1,4,9,1,10,69,0,UNDER CENTER,OPP,RUSH
1,3,6,1,1,99,1,SHOTGUN,OPP,RUSH
1,1,27,3,2,51,1,SHOTGUN,OPP,RUSH
2,14,58,2,2,50,0,UNDER CENTER,OPP,RUSH
2,11,34,2,10,74,1,UNDER CENTER,OPP,RUSH
2,6,2,1,10,51,1,UNDER CENTER,OPP,RUSH
2,5,11,1,8,92,1,UNDER CENTER,OPP,RUSH
3,9,21,1,1,99,1,UNDER CENTER,OPP,RUSH
3,6,13,3,1,51,1,SHOTGUN,OPP,RUSH
3,0,14,1,10,73,0,UNDER CENTER,OPP,RUSH
4,3,38,1,10,67,0,SHOTGUN,OPP,RUSH
1,4,1,2,7,50,0,UNDER CENTER,OPP,RUSH
1,0,5,1,10,59,1,SHOTGUN,OPP,RUSH
2,15,0,1,10,71,0,UNDER CENTER,OPP,RUSH
2,8,9,1,10,50,0,UNDER CENTER,OPP,RUSH
2,6,32,1,10,61,0,SHOTGUN,OPP,RUSH
2,5,46,2,4,67,0,SHOTGUN,OPP,RUSH
2,5,17,2,9,62,1,SHOTGUN,OPP,RUSH
2,4,34,2,10,72,1,UNDER CENTER,OPP,RUSH
2,3,58,1,10,82,0,SHOTGUN,OPP,RUSH
2,3,15,2,6,86,0,SHOTGUN,OPP,RUSH
3,10,23,1,10,77,0,SHOTGUN,OPP,RUSH
3,9,43,2,1,86,1,SHOTGUN,OPP,RUSH
3,9,15,1,7,93,0,SHOTGUN,OPP,RUSH
3,8,24,3,1,99,0,SHOTGUN,OPP,RUSH
4,14,29,1,7,93,1,SHOTGUN,OPP,RUSH
1,8,28,1,4,96,0,UNDER CENTER,OPP,RUSH
1,5,37,3,1,69,1,SHOTGUN,OPP,RUSH
1,3,18,3,4,96,0,SHOTGUN,OPP,RUSH
2,14,13,2,9,56,0,SHOTGUN,OPP,RUSH
2,13,0,2,10,61,0,UNDER CENTER,OPP,RUSH
2,12,25,3,2,69,0,UNDER CENTER,OPP,RUSH
2,10,12,1,10,86,0,SHOTGUN,OPP,RUSH
2,2,43,1,10,66,0,SHOTGUN,OPP,RUSH
2,1,53,2,1,75,1,SHOTGUN,OPP,RUSH
3,11,52,1,10,61,0,UNDER CENTER,OPP,RUSH
3,1,54,1,10,70,0,UNDER CENTER,OPP,RUSH
4,13,40,1,10,60,0,UNDER CENTER,OPP,RUSH
4,13,5,2,11,59,0,SHOTGUN,OPP,RUSH
4,10,19,2,2,65,0,SHOTGUN,OPP,RUSH
4,1,47,1,15,58,0,UNDER CENTER,OPP,RUSH
4,1,41,2,10,63,0,UNDER CENTER,OPP,RUSH
4,0,59,3,7,66,0,UNDER CENTER,OPP,RUSH
1,5,27,1,10,63,0,SHOTGUN,OPP,RUSH
1,3,57,1,10,75,0,UNDER CENTER,OPP,RUSH
1,3,43,1,9,91,0,UNDER CENTER,OPP,RUSH
1,1,8,1,10,62,0,UNDER CENTER,OPP,RUSH
2,8,41,1,10,69,0,UNDER CENTER,OPP,RUSH
2,7,19,1,10,89,0,UNDER CENTER,OPP,RUSH
2,5,46,1,10,60,0,SHOTGUN,OPP,RUSH
2,5,11,2,6,64,0,UNDER CENTER,OPP,RUSH
2,2,20,1,10,63,0,NO HUDDLE SHOTGUN,OPP,RUSH
2,2,0,2,1,72,1,UNDER CENTER,OPP,RUSH
3,7,4,2,5,50,0,SHOTGUN,OPP,RUSH
3,5,41,1,10,64,0,SHOTGUN,OPP,RUSH
3,3,47,1,10,60,0,UNDER CENTER,OPP,RUSH
3,2,32,3,1,69,1,UNDER CENTER,OPP,RUSH
3,2,11,1,10,70,0,UNDER CENTER,OPP,RUSH
3,0,55,1,10,83,0,SHOTGUN,OPP,RUSH
4,12,18,1,10,72,0,UNDER CENTER,OPP,RUSH
4,11,40,2,3,79,0,UNDER CENTER,OPP,RUSH
4,4,45,1,4,96,0,SHOTGUN,OPP,RUSH
1,12,32,1,10,59,0,UNDER CENTER,OPP,RUSH
1,9,55,3,3,87,0,SHOTGUN,OPP,RUSH
1,4,12,1,10,64,1,SHOTGUN,OPP,RUSH
2,15,0,1,10,75,0,SHOTGUN,OPP,RUSH
2,8,14,1,10,54,0,UNDER CENTER,OPP,RUSH
2,2,19,1,5,61,0,NO HUDDLE SHOTGUN,OPP,RUSH
2,1,55,1,10,77,1,NO HUDDLE SHOTGUN,OPP,RUSH
2,1,19,1,10,87,0,NO HUDDLE SHOTGUN,OPP,RUSH
2,0,40,2,6,91,0,SHOTGUN,OPP,RUSH
2,0,35,3,2,95,0,UNDER CENTER,OPP,RUSH
3,9,56,1,10,52,0,UNDER CENTER,OPP,RUSH
3,8,1,1,10,88,0,UNDER CENTER,OPP,RUSH
3,6,39,1,1,99,0,UNDER CENTER,OPP,RUSH
3,4,43,1,10,55,1,SHOTGUN,OPP,RUSH
3,4,5,1,10,71,0,SHOTGUN,OPP,RUSH
3,2,49,1,10,88,1,SHOTGUN,OPP,RUSH
4,14,21,2,4,78,0,SHOTGUN,OPP,RUSH
4,3,46,1,10,61,0,SHOTGUN,OPP,RUSH
4,3,7,2,3,68,1,SHOTGUN,OPP,RUSH
4,3,1,1,10,71,0,SHOTGUN,OPP,RUSH
4,2,56,2,9,72,0,SHOTGUN,OPP,RUSH
4,2,10,3,3,78,1,SHOTGUN,OPP,RUSH
1,9,50,1,10,60,0,UNDER CENTER,OPP,RUSH
1,9,10,2,5,65,1,SHOTGUN,OPP,RUSH
1,3,44,1,10,57,0,UNDER CENTER,OPP,RUSH
1,3,6,2,1,66,1,SHOTGUN,OPP,RUSH
1,0,51,2,3,91,0,SHOTGUN,OPP,RUSH
2,12,58,1,10,51,1,UNDER CENTER,OPP,RUSH
2,6,54,1,10,74,0,SHOTGUN,OPP,RUSH
2,2,0,1,10,56,0,SHOTGUN,OPP,RUSH
2,1,54,1,11,55,1,SHOTGUN,OPP,RUSH
2,1,34,1,10,70,0,NO HUDDLE SHOTGUN,OPP,RUSH
2,1,9,2,3,77,1,NO HUDDLE SHOTGUN,OPP,RUSH
2,0,47,1,10,87,0,NO HUDDLE SHOTGUN,OPP,RUSH
3,12,53,1,10,78,1,SHOTGUN,OPP,RUSH
3,12,10,1,9,91,0,UNDER CENTER,OPP,RUSH
3,11,10,2,1,99,0,SHOTGUN,OPP,RUSH
3,10,32,3,1,99,0,UNDER CENTER,OPP,RUSH
3,9,51,4,1,99,0,UNDER CENTER,OPP,RUSH
3,2,21,1,10,89,0,UNDER CENTER,OPP,RUSH
4,13,48,1,10,61,0,UNDER CENTER,OPP,RUSH
4,12,57,1,10,85,0,NO HUDDLE SHOTGUN,OPP,RUSH
4,12,20,2,5,90,1,UNDER CENTER,OPP,RUSH
4,11,34,1,3,97,0,UNDER CENTER,OPP,RUSH
4,10,50,3,4,96,1,SHOTGUN,OPP,RUSH
4,7,31,1,10,74,0,UNDER CENTER,OPP,RUSH
4,6,54,2,6,78,0,SHOTGUN,OPP,RUSH
4,5,53,1,10,85,0,UNDER CENTER,OPP,RUSH
4,5,16,1,10,73,0,UNDER CENTER,OPP,RUSH
4,4,36,2,8,75,0,UNDER CENTER,OPP,RUSH
4,4,30,1,9,91,0,UNDER CENTER,OPP,RUSH
4,3,46,2,3,97,0,UNDER CENTER,OPP,RUSH
4,3,3,3,1,99,1,SHOTGUN,OPP,RUSH
4,1,55,1,10,57,0,UNDER CENTER,OPP,RUSH
1,6,31,2,5,54,1,UNDER CENTER,OPP,RUSH
2,6,13,1,10,88,0,UNDER CENTER,OPP,RUSH
2,1,53,1,10,64,0,UNDER CENTER,OPP,RUSH
3,12,27,2,3,51,0,UNDER CENTER,OPP,RUSH
3,3,30,1,10,52,0,UNDER CENTER,OPP,RUSH
3,2,52,2,10,52,1,SHOTGUN,OPP,RUSH
3,2,4,1,10,78,0,UNDER CENTER,OPP,RUSH
3,1,29,2,8,80,0,UNDER CENTER,OPP,RUSH
3,0,35,1,4,96,0,SHOTGUN,OPP,RUSH
4,15,0,2,4,96,0,UNDER CENTER,OPP,RUSH
4,14,20,3,6,94,0,SHOTGUN,OPP,RUSH
1,12,57,2,10,55,0,UNDER CENTER,OPP,RUSH
1,6,5,2,1,99,1,UNDER CENTER,OPP,RUSH
1,1,49,2,5,60,1,SHOTGUN,OPP,RUSH
1,1,8,1,10,70,0,UNDER CENTER,OPP,RUSH
1,0,28,2,6,74,0,UNDER CENTER,OPP,RUSH
2,15,0,3,5,75,0,SHOTGUN,OPP,RUSH
2,1,55,1,3,97,0,UNDER CENTER,OPP,RUSH
2,1,7,2,1,99,0,UNDER CENTER,OPP,RUSH
3,7,46,2,3,65,1,UNDER CENTER,OPP,RUSH
3,5,32,1,10,51,0,NO HUDDLE,OPP,RUSH
3,0,21,2,10,67,1,SHOTGUN,OPP,RUSH
4,13,39,1,10,70,0,NO HUDDLE,OPP,RUSH
4,5,20,1,10,60,0,UNDER CENTER,OPP,RUSH
4,4,35,3,6,64,1,UNDER CENTER,OPP,RUSH
4,3,46,1,10,87,0,UNDER CENTER,OPP,RUSH
4,3,35,2,20,77,0,UNDER CENTER,OPP,RUSH
4,2,50,3,16,81,0,UNDER CENTER,OPP,RUSH
4,1,56,1,10,79,0,UNDER CENTER,OPP,RUSH
4,1,50,2,8,81,0,UNDER CENTER,OPP,RUSH
4,1,5,3,10,79,1,UNDER CENTER,OPP,RUSH
1,11,51,1,8,92,0,UNDER CENTER,OPP,RUSH
1,11,16,2,3,97,0,SHOTGUN,OPP,RUSH
1,4,9,1,1,99,0,UNDER CENTER,OPP,RUSH
2,13,29,1,10,83,0,UNDER CENTER,OPP,RUSH
2,12,1,1,1,99,1,UNDER CENTER,OPP,RUSH
2,8,58,1,10,59,0,UNDER CENTER,OPP,RUSH
2,8,17,2,8,61,0,UNDER CENTER,OPP,RUSH
2,0,33,1,1,99,1,NO HUDDLE,OPP,RUSH
3,12,28,1,10,55,0,SHOTGUN,OPP,RUSH
3,11,51,2,7,58,0,SHOTGUN,OPP,RUSH
3,10,34,1,10,70,0,UNDER CENTER,OPP,RUSH
3,9,10,2,9,91,0,UNDER CENTER,OPP,RUSH
3,4,19,2,4,51,0,UNDER CENTER,OPP,RUSH
4,13,58,2,6,53,0,UNDER CENTER,OPP,RUSH
4,12,59,2,1,72,1,UNDER CENTER,OPP,RUSH
4,12,21,1,10,75,0,SHOTGUN,OPP,RUSH
4,11,50,1,19,66,0,UNDER CENTER,OPP,RUSH
4,10,24,3,18,67,0,SHOTGUN,OPP,RUSH
4,5,2,3,1,99,0,UNDER CENTER,OPP,RUSH
4,3,41,1,10,54,0,UNDER CENTER,OPP,RUSH
4,2,50,3,1,63,1,UNDER CENTER,OPP,RUSH
4,2,40,1,10,65,0,UNDER CENTER,OPP,RUSH
4,2,35,2,8,67,0,UNDER CENTER,OPP,RUSH
4,2,0,3,10,65,0,SHOTGUN,OPP,RUSH
1,11,32,2,2,52,1,SHOTGUN,OPP,RUSH
1,10,56,1,10,56,0,SHOTGUN,OPP,RUSH
1,8,7,3,2,65,1,SHOTGUN,OPP,RUSH
1,6,30,2,3,89,1,SHOTGUN,OPP,RUSH
1,6,0,1,5,95,0,SHOTGUN,OPP,RUSH
2,13,38,1,10,75,0,UNDER CENTER,OPP,RUSH
2,9,41,1,10,50,0,UNDER CENTER,OPP,RUSH
2,3,40,2,10,50,0,UNDER CENTER,OPP,RUSH
2,1,48,3,8,69,0,SHOTGUN,OPP,RUSH
3,12,22,1,10,61,0,SHOTGUN,OPP,RUSH
3,9,10,2,10,65,0,UNDER CENTER,OPP,RUSH
3,4,38,1,10,52,0,UNDER CENTER,OPP,RUSH
3,2,50,1,7,93,0,UNDER CENTER,OPP,RUSH
4,11,30,1,10,56,1,UNDER CENTER,OPP,RUSH
4,10,55,1,10,78,0,UNDER CENTER,OPP,RUSH
4,10,1,1,1,99,1,UNDER CENTER,OPP,RUSH
4,4,30,2,2,68,0,NO HUDDLE SHOTGUN,OPP,RUSH
1,11,37,1,10,70,1,UNDER CENTER,OPP,RUSH
1,10,43,2,12,85,0,UNDER CENTER,OPP,RUSH
1,8,34,1,10,54,1,UNDER CENTER,OPP,RUSH
1,7,17,2,4,74,0,UNDER CENTER,OPP,RUSH
1,0,46,1,10,88,0,UNDER CENTER,OPP,RUSH
2,14,20,3,1,97,1,UNDER CENTER,OPP,RUSH
2,13,33,1,2,98,0,UNDER CENTER,OPP,RUSH
2,10,2,1,10,62,0,UNDER CENTER,OPP,RUSH
3,13,21,1,6,94,0,SHOTGUN,OPP,RUSH
3,2,14,1,10,50,0,SHOTGUN,OPP,RUSH
3,0,4,1,10,79,0,UNDER CENTER,OPP,RUSH
4,9,31,1,10,71,1,UNDER CENTER,OPP,RUSH
4,8,45,1,10,82,0,UNDER CENTER,OPP,RUSH
4,7,58,2,7,85,0,UNDER CENTER,OPP,RUSH
4,6,21,1,8,92,0,UNDER CENTER,OPP,RUSH
4,5,36,2,13,87,0,UNDER CENTER,OPP,RUSH
4,4,48,3,9,91,0,SHOTGUN,OPP,RUSH
1,10,11,3,10,58,0,SHOTGUN,OPP,RUSH
1,7,38,1,10,75,0,SHOTGUN,OPP,RUSH
1,7,2,2,10,75,0,SHOTGUN,OPP,RUSH
1,6,27,3,4,81,1,SHOTGUN,OPP,RUSH
1,5,41,2,10,90,0,SHOTGUN,OPP,RUSH
1,2,42,2,2,85,1,NO HUDDLE SHOTGUN,OPP,RUSH
2,10,59,1,10,50,0,NO HUDDLE SHOTGUN,OPP,RUSH
2,8,57,1,10,65,1,UNDER CENTER,OPP,RUSH
2,6,39,2,1,79,1,NO HUDDLE SHOTGUN,OPP,RUSH
2,5,57,2,10,88,0,SHOTGUN,OPP,RUSH
2,5,20,3,2,96,0,SHOTGUN,OPP,RUSH
3,11,44,1,10,54,0,NO HUDDLE SHOTGUN,OPP,RUSH
3,11,3,2,5,59,1,SHOTGUN,OPP,RUSH
3,8,17,1,10,86,0,NO HUDDLE SHOTGUN,OPP,RUSH
3,6,50,1,1,99,1,UNDER CENTER,OPP,RUSH
3,3,1,1,1,99,1,UNDER CENTER,OPP,RUSH
4,10,31,1,10,79,0,NO HUDDLE SHOTGUN,OPP,RUSH
4,9,15,2,10,90,0,SHOTGUN,OPP,RUSH
4,7,44,3,2,52,1,SHOTGUN,OPP,RUSH
4,1,55,1,10,51,0,SHOTGUN,OPP,RUSH
4,1,50,2,10,51,0,SHOTGUN,OPP,RUSH
1,11,33,2,3,70,0,UNDER CENTER,OPP,RUSH
1,3,21,3,1,51,0,UNDER CENTER,OPP,RUSH
1,0,53,2,10,63,0,SHOTGUN,OPP,RUSH
1,0,8,3,5,68,0,SHOTGUN,OPP,RUSH
2,14,26,1,10,84,0,NO HUDDLE,OPP,RUSH
2,14,11,1,5,89,0,SHOTGUN,OPP,RUSH
2,13,32,2,1,93,1,SHOTGUN,OPP,RUSH
2,13,6,1,1,99,1,SHOTGUN,OPP,RUSH
2,11,44,1,10,57,0,NO HUDDLE,OPP,RUSH
2,8,34,1,10,65,0,SHOTGUN,OPP,RUSH
2,8,1,2,9,66,0,SHOTGUN,OPP,RUSH
2,0,49,2,5,82,1,SHOTGUN,OPP,RUSH
3,10,19,1,10,87,0,UNDER CENTER,OPP,RUSH
3,9,41,2,11,86,0,SHOTGUN,OPP,RUSH
3,6,40,1,10,58,0,UNDER CENTER,OPP,RUSH
3,6,14,2,6,62,0,NO HUDDLE,OPP,RUSH
3,5,13,4,1,67,1,UNDER CENTER,OPP,RUSH
4,15,0,1,10,72,0,UNDER CENTER,OPP,RUSH
4,14,24,2,4,78,0,SHOTGUN,OPP,RUSH
4,10,5,1,10,65,1,SHOTGUN,OPP,RUSH
4,8,58,2,3,88,0,NO HUDDLE SHOTGUN,OPP,RUSH
4,7,53,1,7,93,0,UNDER CENTER,OPP,RUSH
4,6,39,1,1,99,0,UNDER CENTER,OPP,RUSH
4,5,40,1,10,50,0,UNDER CENTER,OPP,RUSH
4,4,58,2,7,53,0,UNDER CENTER,OPP,RUSH
1,11,43,1,10,90,0,SHOTGUN,OPP,RUSH
1,10,39,2,1,99,1,UNDER CENTER,OPP,RUSH
1,4,20,1,10,61,1,UNDER CENTER,OPP,RUSH
1,3,19,2,3,97,1,UNDER CENTER,OPP,RUSH
1,1,39,1,10,75,0,UNDER CENTER,OPP,RUSH
2,15,0,1,10,89,0,SHOTGUN,OPP,RUSH
2,11,36,1,10,67,1,UNDER CENTER,OPP,RUSH
2,9,1,1,10,58,1,UNDER CENTER,OPP,RUSH
2,8,37,1,7,93,0,UNDER CENTER,OPP,RUSH
2,8,11,2,3,97,0,SHOTGUN,OPP,RUSH
2,7,29,3,1,99,1,UNDER CENTER,OPP,RUSH
2,4,56,1,1,99,0,UNDER CENTER,OPP,RUSH
2,4,50,1,6,94,0,SHOTGUN,OPP,RUSH
3,8,6,2,10,62,0,SHOTGUN,OPP,RUSH
3,6,40,1,10,77,0,UNDER CENTER,OPP,RUSH
3,5,58,1,6,94,0,SHOTGUN,OPP,RUSH
3,2,58,3,4,63,0,SHOTGUN,OPP,RUSH
3,2,9,4,1,66,0,UNDER CENTER,OPP,RUSH
4,11,47,1,10,73,0,SHOTGUN,OPP,RUSH
4,11,21,2,3,80,1,SHOTGUN,OPP,RUSH
4,10,16,1,15,81,0,UNDER CENTER,OPP,RUSH
4,9,51,1,24,72,0,SHOTGUN,OPP,RUSH
1,12,33,4,1,51,1,UNDER CENTER,OPP,RUSH
1,11,47,2,10,52,0,UNDER CENTER,OPP,RUSH
1,4,10,2,10,73,0,SHOTGUN,OPP,RUSH
2,15,0,1,10,71,1,UNDER CENTER,OPP,RUSH
2,14,17,1,10,87,0,UNDER CENTER,OPP,RUSH
2,9,36,2,6,53,0,UNDER CENTER,OPP,RUSH
2,7,4,2,5,85,1,UNDER CENTER,OPP,RUSH
2,6,33,1,3,97,1,UNDER CENTER,OPP,RUSH
2,3,4,3,4,90,1,SHOTGUN,OPP,RUSH
2,2,26,1,1,99,1,UNDER CENTER,OPP,RUSH
2,0,40,1,10,73,0,SHOTGUN,OPP,RUSH
3,11,10,2,1,81,0,SHOTGUN,OPP,RUSH
3,8,3,1,10,79,1,SHOTGUN,OPP,RUSH
3,7,33,1,10,90,1,SHOTGUN,OPP,RUSH
3,2,37,1,10,90,0,UNDER CENTER,OPP,RUSH
3,0,49,1,6,94,0,UNDER CENTER,OPP,RUSH
3,0,8,2,5,95,0,UNDER CENTER,OPP,RUSH
4,11,32,2,10,67,1,SHOTGUN,OPP,RUSH
4,10,58,1,10,78,0,SHOTGUN,OPP,RUSH
4,10,18,2,10,78,0,SHOTGUN,OPP,RUSH
4,7,5,1,10,64,1,SHOTGUN,OPP,RUSH
4,6,18,1,10,77,0,SHOTGUN,OPP,RUSH
1,14,30,1,10,51,0,NO HUDDLE,OPP,RUSH
1,7,47,3,1,55,0,UNDER CENTER,OPP,RUSH
1,0,54,1,10,57,0,UNDER CENTER,OPP,RUSH
2,15,0,1,10,74,0,SHOTGUN,OPP,RUSH
2,14,39,1,20,64,0,SHOTGUN,OPP,RUSH
2,13,31,3,14,70,0,SHOTGUN,OPP,RUSH
2,5,27,1,10,55,0,SHOTGUN,OPP,RUSH
2,2,51,2,19,60,0,NO HUDDLE,OPP,RUSH
2,2,0,1,10,83,0,SHOTGUN,OPP,RUSH
3,12,24,1,10,55,0,UNDER CENTER,OPP,RUSH
3,11,45,2,6,59,0,SHOTGUN,OPP,RUSH
3,0,59,1,10,64,0,UNDER CENTER,OPP,RUSH
4,15,0,3,4,70,1,SHOTGUN,OPP,RUSH
4,14,22,1,10,77,0,UNDER CENTER,OPP,RUSH
4,2,15,1,10,50,0,UNDER CENTER,OPP,RUSH
1,13,41,1,10,55,0,UNDER CENTER,OPP,RUSH
1,10,22,1,8,92,0,SHOTGUN,OPP,RUSH
1,9,59,1,1,99,1,UNDER CENTER,OPP,RUSH
1,3,58,1,10,59,0,UNDER CENTER,OPP,RUSH
1,1,49,1,10,79,0,SHOTGUN,OPP,RUSH
1,0,16,2,9,91,0,SHOTGUN,OPP,RUSH
2,15,0,1,9,91,0,UNDER CENTER,OPP,RUSH
2,10,29,1,10,56,0,UNDER CENTER,OPP,RUSH
2,9,3,3,1,65,0,UNDER CENTER,OPP,RUSH
2,7,38,1,10,68,0,UNDER CENTER,OPP,RUSH
2,3,57,1,5,95,0,UNDER CENTER,OPP,RUSH
2,0,28,1,10,75,0,SHOTGUN,OPP,RUSH
3,8,43,2,5,58,0,UNDER CENTER,OPP,RUSH
4,12,23,2,4,52,0,UNDER CENTER,OPP,RUSH
4,10,56,1,10,76,0,UNDER CENTER,OPP,RUSH
4,1,9,1,10,51,0,UNDER CENTER,OPP,RUSH
4,1,4,2,8,53,0,UNDER CENTER,OPP,RUSH
4,0,59,3,8,53,0,UNDER CENTER,OPP,RUSH
1,2,30,2,10,56,0,SHOTGUN,OPP,RUSH
1,1,50,3,2,64,1,UNDER CENTER,OPP,RUSH
2,10,39,2,10,62,0,UNDER CENTER,OPP,RUSH
2,9,16,1,10,88,1,UNDER CENTER,OPP,RUSH
2,4,39,1,10,81,0,UNDER CENTER,OPP,RUSH
3,13,50,1,10,50,0,UNDER CENTER,OPP,RUSH
3,11,55,1,10,78,0,UNDER CENTER,OPP,RUSH
3,10,42,2,7,81,1,UNDER CENTER,OPP,RUSH
3,2,20,1,3,97,1,SHOTGUN,OPP,RUSH
4,5,24,1,10,57,0,UNDER CENTER,OPP,RUSH
4,4,39,2,4,63,0,UNDER CENTER,OPP,RUSH
4,1,30,3,8,57,1,SHOTGUN,OPP,RUSH
1,12,16,1,10,85,0,UNDER CENTER,OPP,RUSH
1,6,35,1,10,72,0,UNDER CENTER,OPP,RUSH
1,5,59,2,19,63,0,UNDER CENTER,OPP,RUSH
1,3,2,2,10,54,0,SHOTGUN,OPP,RUSH
1,1,48,2,3,69,1,SHOTGUN,OPP,RUSH
1,1,5,1,10,72,0,UNDER CENTER,OPP,RUSH
2,15,0,2,11,71,0,SHOTGUN,OPP,RUSH
2,13,41,4,1,81,0,UNDER CENTER,OPP,RUSH
2,12,24,1,10,78,0,UNDER CENTER,OPP,RUSH
2,5,39,1,10,86,1,SHOTGUN,OPP,RUSH
3,9,55,1,10,59,1,UNDER CENTER,OPP,RUSH
3,8,19,2,3,77,1,UNDER CENTER,OPP,RUSH
3,6,46,2,8,92,0,UNDER CENTER,OPP,RUSH
3,4,21,2,1,54,1,UNDER CENTER,OPP,RUSH
3,3,59,1,10,59,0,UNDER CENTER,OPP,RUSH
3,2,2,1,10,68,0,UNDER CENTER,OPP,RUSH
3,0,45,1,10,83,0,UNDER CENTER,OPP,RUSH
4,0,13,2,5,68,0,UNDER CENTER,OPP,RUSH
1,12,30,1,10,51,0,UNDER CENTER,OPP,RUSH
1,11,16,3,1,60,1,SHOTGUN,OPP,RUSH
1,10,28,2,10,62,0,UNDER CENTER,OPP,RUSH
1,9,49,3,1,71,1,SHOTGUN,OPP,RUSH
1,8,24,2,1,88,0,SHOTGUN,OPP,RUSH
1,7,41,3,1,88,1,SHOTGUN,OPP,RUSH
1,4,14,1,10,59,0,UNDER CENTER,OPP,RUSH
1,2,38,1,10,69,1,UNDER CENTER,OPP,RUSH
1,1,56,1,10,85,0,UNDER CENTER,OPP,RUSH
2,11,44,1,10,66,0,UNDER CENTER,OPP,RUSH
2,8,21,1,10,65,0,UNDER CENTER,OPP,RUSH
2,7,49,2,3,72,0,UNDER CENTER,OPP,RUSH
2,0,43,1,10,57,0,SHOTGUN,OPP,RUSH
3,8,45,1,10,70,0,UNDER CENTER,OPP,RUSH
3,8,7,2,10,70,0,UNDER CENTER,OPP,RUSH
3,4,24,1,10,52,0,SHOTGUN,OPP,RUSH
4,6,9,1,10,64,0,SHOTGUN,OPP,RUSH
4,5,5,3,1,73,0,NO HUDDLE SHOTGUN,OPP,RUSH
4,4,25,4,4,70,1,SHOTGUN,OPP,RUSH
1,13,44,1,10,54,0,UNDER CENTER,OPP,RUSH
1,13,4,2,5,59,0,SHOTGUN,OPP,RUSH
1,12,23,3,2,62,0,SHOTGUN,OPP,RUSH
1,9,33,2,9,89,1,UNDER CENTER,OPP,RUSH
1,3,1,1,10,82,0,UNDER CENTER,OPP,RUSH
1,0,8,1,10,87,0,UNDER CENTER,OPP,RUSH
2,14,56,1,4,96,0,UNDER CENTER,OPP,RUSH
2,9,0,1,10,84,1,UNDER CENTER,OPP,RUSH
2,8,20,1,4,96,0,UNDER CENTER,OPP,RUSH
2,2,49,1,10,60,1,UNDER CENTER,OPP,RUSH
2,2,7,1,10,72,0,UNDER CENTER,OPP,RUSH
2,0,28,2,1,99,1,UNDER CENTER,OPP,RUSH
3,10,26,1,10,80,0,UNDER CENTER,OPP,RUSH
3,7,56,1,10,50,0,UNDER CENTER,OPP,RUSH
3,3,7,2,3,73,1,UNDER CENTER,OPP,RUSH
4,11,23,1,10,50,0,UNDER CENTER,OPP,RUSH
4,7,59,1,10,60,0,UNDER CENTER,OPP,RUSH
4,7,20,2,7,63,0,UNDER CENTER,OPP,RUSH
4,3,26,1,10,50,0,UNDER CENTER,OPP,RUSH
4,3,22,2,8,52,0,UNDER CENTER,OPP,RUSH
