Quarter,Minute,Second,Down,ToGo,YardLine,SeriesFirstDown,Formation,YardLineDirection,OffenseTeam,DefenseTeam
5,5,47,3,5,45,0,SHOTGUN,OWN,CLE,OAK
5,5,27,1,10,19,0,SHOTGUN,OWN,OAK,CLE
5,5,23,2,10,19,0,SHOTGUN,OWN,OAK,CLE
5,4,44,3,3,26,1,SHOTGUN,OWN,OAK,CLE
1,15,0,1,10,25,0,SHOTGUN,OWN,LAC,SF
1,14,12,3,10,25,1,SHOTGUN,OWN,LAC,SF
1,13,20,2,7,28,0,SHOTGUN,OWN,LAC,SF
1,13,15,3,7,28,0,SHOTGUN,OWN,LAC,SF
1,12,22,2,11,13,0,SHOTGUN,OWN,SF,LAC
1,12,18,3,16,8,0,SHOTGUN,OWN,SF,LAC
1,11,32,1,10,37,0,SHOTGUN,OWN,LAC,SF
1,11,1,2,8,39,0,SHOTGUN,OWN,LAC,SF
1,10,24,3,5,42,0,SHOTGUN,OWN,LAC,SF
1,9,8,1,10,47,1,UNDER CENTER,OWN,LAC,SF
1,3,53,1,10,25,1,UNDER CENTER,OWN,LAC,SF
1,3,18,1,10,43,1,UNDER CENTER,OWN,LAC,SF
1,0,43,1,10,25,0,UNDER CENTER,OWN,SF,LAC
2,14,12,3,3,32,1,SHOTGUN,OWN,SF,LAC
2,12,56,2,6,40,0,UNDER CENTER,OWN,SF,LAC
2,12,50,3,6,40,1,SHOTGUN,OWN,SF,LAC
2,5,6,3,3,97,0,SHOTGUN,OPP,SF,LAC
2,4,59,1,10,25,1,SHOTGUN,OWN,LAC,SF
2,3,54,2,6,45,1,SHOTGUN,OWN,LAC,SF
2,0,47,1,10,25,0,SHOTGUN,OWN,SF,LAC
2,0,42,2,10,25,0,SHOTGUN,OWN,SF,LAC
2,0,34,3,2,33,0,SHOTGUN,OWN,SF,LAC
3,14,21,2,7,32,0,SHOTGUN,OWN,SF,LAC
3,10,28,1,10,10,1,UNDER CENTER,OWN,SF,LAC
3,10,7,1,10,22,1,UNDER CENTER,OWN,SF,LAC
3,9,43,1,10,45,0,UNDER CENTER,OWN,SF,LAC
3,9,0,1,8,92,1,SHOTGUN,OPP,SF,LAC
3,8,0,2,8,90,0,SHOTGUN,OPP,LAC,SF
3,7,52,3,5,93,0,SHOTGUN,OPP,LAC,SF
3,7,40,1,10,24,0,UNDER CENTER,OWN,SF,LAC
3,6,51,3,8,26,0,SHOTGUN,OWN,SF,LAC
3,5,54,1,10,25,1,UNDER CENTER,OWN,LAC,SF
3,3,50,3,13,37,0,SHOTGUN,OWN,LAC,SF
3,2,58,2,8,18,1,UNDER CENTER,OWN,SF,LAC
3,1,35,1,10,40,0,UNDER CENTER,OWN,LAC,SF
3,1,30,2,10,40,0,SHOTGUN,OWN,LAC,SF
3,1,23,3,10,40,0,SHOTGUN,OWN,LAC,SF
3,1,7,1,10,36,0,SHOTGUN,OWN,SF,LAC
4,5,57,2,15,33,0,SHOTGUN,OWN,CLE,BAL
4,12,39,1,10,25,0,SHOTGUN,OWN,LAC,SF
4,12,4,2,2,33,1,UNDER CENTER,OWN,LAC,SF
4,7,10,2,3,24,0,UNDER CENTER,OWN,SF,LAC
4,7,3,3,3,24,0,SHOTGUN,OWN,SF,LAC
4,3,49,1,10,7,1,SHOTGUN,OWN,SF,LAC
4,3,20,1,10,27,0,UNDER CENTER,OWN,SF,LAC
4,2,38,2,6,31,0,UNDER CENTER,OWN,SF,LAC
1,14,55,1,10,23,0,SHOTGUN,OWN,NO,NYG
1,14,50,2,10,23,0,UNDER CENTER,OWN,NO,NYG
1,14,43,3,10,23,0,SHOTGUN,OWN,NO,NYG
1,14,7,3,20,13,0,SHOTGUN,OWN,NO,NYG
1,12,46,1,10,35,1,SHOTGUN,OWN,NYG,NO
1,8,24,1,10,25,0,UNDER CENTER,OWN,NO,NYG
1,7,3,3,2,33,0,SHOTGUN,OWN,NO,NYG
1,6,59,4,2,33,1,UNDER CENTER,OWN,NO,NYG
2,14,11,2,5,29,1,UNDER CENTER,OWN,NYG,NO
2,13,28,1,10,36,0,UNDER CENTER,OWN,NYG,NO
2,12,29,2,15,31,0,UNDER CENTER,OWN,NYG,NO
2,11,47,3,11,35,0,SHOTGUN,OWN,NYG,NO
2,10,49,1,10,15,0,SHOTGUN,OWN,NO,NYG
2,7,18,1,10,25,0,UNDER CENTER,OWN,NYG,NO
2,6,30,3,6,29,1,SHOTGUN,OWN,NYG,NO
2,5,19,2,8,38,1,SHOTGUN,OWN,NYG,NO
2,4,45,1,10,49,0,UNDER CENTER,OWN,NYG,NO
2,3,36,1,10,25,0,UNDER CENTER,OWN,NYG,NO
2,2,48,3,8,27,0,SHOTGUN,OWN,NYG,NO
3,14,36,1,20,15,0,SHOTGUN,OWN,NYG,NO
3,13,57,2,10,25,0,UNDER CENTER,OWN,NYG,NO
3,13,16,3,3,32,1,SHOTGUN,OWN,NYG,NO
3,12,39,1,10,38,0,SHOTGUN,OWN,NYG,NO
3,11,18,3,14,34,0,SHOTGUN,OWN,NYG,NO
3,9,54,1,10,38,1,SHOTGUN,OWN,NO,NYG
3,7,9,1,10,11,0,SHOTGUN,OWN,NYG,NO
3,6,31,2,6,15,1,SHOTGUN,OWN,NYG,NO
3,2,2,1,10,25,0,UNDER CENTER,OWN,NO,NYG
3,0,42,3,10,25,0,SHOTGUN,OWN,NO,NYG
4,15,0,2,17,24,0,SHOTGUN,OWN,NYG,NO
